SMILES,canvasUID,FractionCSP3,MolWt,RingCount,TotalRing,NumBridges,nBondRings,nAtomRings,ringFusionDensity,ringFusionDegree,ringComplexityIndex,molecularCyclizedDegree,NumRingSystems,NumChiralCenters
OC1C=C2CC[NH+]3Cc4cc5c(cc4C(C1O)C23)OCO5,325,0.5,288.32300000000004,5,28,5,23,19,0.5263157894736842,5.0,1.4736842105263157,0.9047619047619048,1,5
C=Cc1cccc2c1N(C)Cc1cc3c(cc1-2)OCO3,326,0.17647058823529413,265.31199999999995,4,23,3,20,17,0.35294117647058826,4.0,1.3529411764705883,0.85,1,0
CC(=O)OC1C=C(CCCl)C2C(c3cc4c(cc3CN2C(=O)OCc2ccccc2)OCO4)C1OC(C)=O,327,0.39285714285714285,541.9840000000004,5,29,3,26,23,0.2608695652173913,2.5,1.2608695652173914,0.6052631578947368,2,4
CC(=O)OC1C=CC2(CCN3CCOCC3)OC(=O)N3Cc4cc5c(cc4C1C32)OCO5,328,0.5652173913043478,442.46800000000036,6,34,5,29,25,0.4,3.0,1.36,0.78125,2,4
CC(=O)OC1C=C(CCN2CCOCC2)C2[NH2+]Cc3cc4c(cc3C2C1OC(C)=O)OCO4,329,0.5833333333333334,459.5190000000004,5,29,3,26,23,0.2608695652173913,2.5,1.2608695652173914,0.696969696969697,2,4
O=C(OCc1ccccc1)N1Cc2cc3c(cc2C2C(O)C(O)C4C(=CCn5c(=O)n(-c6ccccc6)c(=O)n54)C21)OCO3,330,0.28125,596.5960000000002,8,46,5,41,36,0.2777777777777778,2.6666666666666665,1.2777777777777777,0.8181818181818182,3,5
O=CCC1CCn2c1c(C=O)c1cc3c(cc1c2=O)OCO3,331,0.3125,299.282,4,22,3,19,16,0.375,4.0,1.375,0.7272727272727273,1,1
O=c1c2cc3c(cc2c2c4n1CCC4CC[NH+](Cc1ccccc1)C2)OCO3,332,0.34782608695652173,375.44800000000004,6,35,5,30,26,0.38461538461538464,3.0,1.3461538461538463,0.9285714285714286,2,2
O=c1c2cc3c(cc2c(CO)c2n1CCC2CCO)OCO3,333,0.4375,303.314,4,22,3,19,16,0.375,4.0,1.375,0.7272727272727273,1,1
C#Cc1cc(N2CCc3cccc(OC(C)=O)c3-c3cc4c(cc3C2)OCO4)cc2c1COC2,334,0.25,453.4940000000002,6,36,4,32,28,0.2857142857142857,3.0,1.2857142857142858,0.8235294117647058,2,0
OC1C=C2CC[NH+]3Cc4cc(-c5ccccc5)c(-c5ccccc5)cc4C(C1O)C23,335,0.25925925925925924,396.51000000000005,6,35,4,31,28,0.2857142857142857,2.0,1.25,0.9333333333333333,3,5
CC(=O)OC1C=C(CCCl)C2C(c3cc(-c4ccccc4)c(-c4ccccc4)cc3CN2C(=O)OCc2ccccc2)C1OC(C)=O,336,0.2564102564102564,650.1710000000003,6,36,2,34,32,0.125,1.5,1.125,0.6808510638297872,4,4
Oc1cc2c3c(c1)c1cc4c(cc1c(Cc1ccccc1)[n+]3CC2)OCO4,337,0.17391304347826086,356.4010000000001,6,34,5,29,25,0.4,3.0,1.36,0.9259259259259259,2,0
CC(=O)OC1C=C2CC[NH+]3Cc4cc5c(cc4C(C1OC(C)=O)C23)OCO5,339,0.5,372.39700000000016,5,28,5,23,19,0.5263157894736842,5.0,1.4736842105263157,0.7037037037037037,1,5
Oc1cc2c(cc1O)C1C(O)C(O)C=C3CC[NH+](C2)C31,340,0.4666666666666667,276.31200000000007,4,23,4,19,16,0.5,4.0,1.4375,0.8,1,5
CC(=O)OC1C(O)C=C2CC[NH+]3Cc4cc5c(cc4C1C23)OCO5,341,0.5,330.36000000000007,5,28,5,23,19,0.5263157894736842,5.0,1.4736842105263157,0.7916666666666666,1,5
O=C1CC2CC[NH+]3Cc4cc5c(cc4C(C1)C23)OCO5,342,0.5625,272.32399999999996,5,28,5,23,19,0.5263157894736842,5.0,1.4736842105263157,0.95,1,4
O=C1CC2CC[N+]3([O-])Cc4cc5c(cc4C(C1)C23)OCO5,343,0.5625,287.31500000000005,5,28,5,23,19,0.5263157894736842,5.0,1.4736842105263157,0.9047619047619048,1,4
O=C1CC2CC[N+]3([O-])Cc4cc5c(cc4C(C1)C23)OCO5,344,0.5625,287.31500000000005,5,28,5,23,19,0.5263157894736842,5.0,1.4736842105263157,0.9047619047619048,1,4
OC1CC2CC[NH+]3Cc4cc5c(cc4C(C1O)C23)OCO5,345,0.625,290.339,5,28,5,23,19,0.5263157894736842,5.0,1.4736842105263157,0.9047619047619048,1,6
COC(=O)CN1CCC2CCn3c2c(c2cc4c(cc2c3=O)OCO4)C1,346,0.47368421052631576,356.3780000000001,5,29,5,24,20,0.5,5.0,1.45,0.7692307692307693,1,1
O=c1c2cc3c(cc2c(/C=N/O)c2n1CCC2C/C=N/O)OCO3,347,0.3125,329.3120000000001,4,22,3,19,16,0.375,4.0,1.375,0.6666666666666666,1,1
CC(=O)OC1C=C(CCN2CCOCC2)C2C(c3cc4c(cc3CN2C(=O)OCc2ccccc2)OCO4)C1OC(C)=O,348,0.46875,592.6450000000001,6,35,3,32,29,0.20689655172413793,2.0,1.206896551724138,0.6744186046511628,3,4
CC(=O)OC1C=C(CC[NH2+]C2CC2)C2C(c3cc4c(cc3CN2C(=O)OCc2ccccc2)OCO4)C1OC(C)=O,349,0.45161290322580644,563.6270000000004,6,32,3,29,26,0.23076923076923078,2.0,1.2307692307692308,0.6341463414634146,3,4
CC(=O)OC1C=C(CCN=[N+]=[N-])C2C(c3cc4c(cc3CN2C(=O)OCc2ccccc2)OCO4)C1OC(C)=O,350,0.39285714285714285,548.5520000000004,5,29,3,26,23,0.2608695652173913,2.5,1.2608695652173914,0.575,2,4
CC(=O)OC1C=C(CCn2cc(-c3ccccc3)nn2)C2C(c3cc4c(cc3CN2C(=O)OCc2ccccc2)OCO4)C1OC(C)=O,351,0.3055555555555556,650.6880000000002,7,40,3,37,34,0.17647058823529413,1.75,1.1764705882352942,0.7083333333333334,4,4
CC(=O)OC1C=C(CCn2cc(CCCO)nn2)C2C(c3cc4c(cc3CN2C(=O)OCc2ccccc2)OCO4)C1OC(C)=O,352,0.42424242424242425,632.6700000000001,6,34,3,31,28,0.21428571428571427,2.0,1.2142857142857142,0.6086956521739131,3,4
CC(=O)OC1C=C(CCn2cc(CNC(=O)OC(C)(C)C)nn2)C2C(c3cc4c(cc3CN2C(=O)OCc2ccccc2)OCO4)C1OC(C)=O,353,0.4444444444444444,703.749,6,34,3,31,28,0.21428571428571427,2.0,1.2142857142857142,0.5490196078431373,3,4
CC(=O)OC1C=C(CCn2cc(-c3ccccc3)nn2)C2[NH2+]Cc3cc4c(cc3C2C1OC(C)=O)OCO4,354,0.35714285714285715,517.5620000000004,6,34,3,31,28,0.21428571428571427,2.0,1.2142857142857142,0.7368421052631579,3,4
CC(=O)OC1C=C(CCn2cc(CCCO)nn2)C2[NH2+]Cc3cc4c(cc3C2C1OC(C)=O)OCO4,355,0.52,499.5440000000004,5,28,3,25,22,0.2727272727272727,2.5,1.2727272727272727,0.6111111111111112,2,4
CC(=O)OC1C=CC2(CCn3cc(-c4ccccc4)nn3)OC(=O)N3Cc4cc5c(cc4C1C32)OCO5,356,0.3333333333333333,500.51100000000025,7,39,5,34,30,0.3333333333333333,2.3333333333333335,1.3,0.8108108108108109,3,4
CC(=O)OC1C=C(CC[NH3+])C2C(c3cc4c(cc3CN2C(=O)OCc2ccccc2)OCO4)C1OC(C)=O,357,0.39285714285714285,523.5620000000004,5,29,3,26,23,0.2608695652173913,2.5,1.2608695652173914,0.6052631578947368,2,4
CC(=O)OC1C=C(CCn2cc(C[NH3+])nn2)C2C(c3cc4c(cc3CN2C(=O)OCc2ccccc2)OCO4)C1OC(C)=O,358,0.3870967741935484,604.6400000000001,6,34,3,31,28,0.21428571428571427,2.0,1.2142857142857142,0.6363636363636364,3,4
CC(=O)OC1C=C2CCN3C(=O)c4cc5c(cc4C(C1OC(C)=O)C23)OCO5,359,0.45,385.3720000000001,5,28,5,23,19,0.5263157894736842,5.0,1.4736842105263157,0.6785714285714286,1,4
CC(=O)Oc1cc2c3c(c1)c1cc4c(cc1c[n+]3CC2)OCO4,360,0.2222222222222222,308.31300000000005,5,28,5,23,19,0.5263157894736842,5.0,1.4736842105263157,0.8260869565217391,1,0
CC(C)c1c2cc3c(cc2c2cc(O)cc4c2[n+]1CC4)OCO3,361,0.3157894736842105,308.3570000000001,5,28,5,23,19,0.5263157894736842,5.0,1.4736842105263157,0.8260869565217391,1,0
CC(=O)Oc1cccc2c1-c1cc3c(cc1CN(c1ccccc1)CC2)OCO3,362,0.20833333333333334,387.4350000000001,5,31,3,28,25,0.24,2.5,1.24,0.8620689655172413,2,0
CC(=O)OC1CC2CC[NH+]3Cc4cc5c(cc4C(C1OC(C)=O)C23)OCO5,363,0.6,374.4130000000001,5,28,5,23,19,0.5263157894736842,5.0,1.4736842105263157,0.7037037037037037,1,6
CC(=O)OC1CCC2CC[NH+]3Cc4cc5c(cc4C1C23)OCO5,364,0.6111111111111112,316.377,5,28,5,23,19,0.5263157894736842,5.0,1.4736842105263157,0.8260869565217391,1,5
O=S(=O)(Oc1cc2c(cc1OS(=O)(=O)C(F)(F)F)C1C(O)C(O)C=C3CC[NH+](C2)C31)C(F)(F)F,365,0.5294117647058824,540.4360000000001,4,23,4,19,16,0.5,4.0,1.4375,0.47058823529411764,1,5
O=S(=O)(Oc1cc2c(cc1-c1cccs1)C[NH+]1CCC3=CC(O)C(O)C2C31)C(F)(F)F,366,0.4,474.50200000000007,5,28,4,24,21,0.38095238095238093,2.5,1.3333333333333333,0.6774193548387096,2,5
O=S(=O)(Oc1cc2c(cc1-c1cccs1)C1C(O)C(O)C=C3CC[NH+](C2)C31)C(F)(F)F,367,0.4,474.50200000000007,5,28,4,24,21,0.38095238095238093,2.5,1.3333333333333333,0.6774193548387096,2,5
CCCCC#Cc1cc2c(cc1C#CCCCC)C1C(O)C(O)C=C3CC[NH+](C2)C31,368,0.5555555555555556,404.57400000000024,4,23,4,19,16,0.5,4.0,1.4375,0.5333333333333333,1,5
CC(=O)OC1C=CC2(CCN=[N+]=[N-])OC(=O)N3Cc4cc5c(cc4C1C32)OCO5,369,0.47368421052631576,398.37500000000017,5,28,5,23,19,0.5263157894736842,5.0,1.4736842105263157,0.6551724137931034,1,4
C=CC1=CC(O)C(O)C2c3cc4c(cc3CN(C(=O)OCc3ccccc3)C12)OCO4,370,0.2916666666666667,421.4490000000002,5,29,3,26,23,0.2608695652173913,2.5,1.2608695652173914,0.7419354838709677,2,4
CC(=O)OC1C(=O)C=C2CCN3Cc4cc5c(cc4C1C23)OCO5,371,0.4444444444444444,327.33600000000007,5,28,5,23,19,0.5263157894736842,5.0,1.4736842105263157,0.7916666666666666,1,3
CC(=O)OC1C(Cl)C=C2CC[NH+]3Cc4cc5c(cc4C1C23)OCO5,372,0.5,348.80600000000004,5,28,5,23,19,0.5263157894736842,5.0,1.4736842105263157,0.7916666666666666,1,5
CC(=O)OC1C=C2CC[NH+]3Cc4cc(-c5ccccc5)c(-c5ccccc5)cc4C(C1OC(C)=O)C23,373,0.2903225806451613,480.5840000000003,6,35,4,31,28,0.2857142857142857,2.0,1.25,0.7777777777777778,3,5
O=C(OCc1ccccc1)N1Cc2cc3c(cc2C2C(O)C(O)C=C(CCCl)C21)OCO3,374,0.375,457.9100000000003,5,29,3,26,23,0.2608695652173913,2.5,1.2608695652173914,0.71875,2,4
CC(=O)OC1C=C(CCN=[N+]=[N-])C2[NH2+]Cc3cc4c(cc3C2C1OC(C)=O)OCO4,375,0.5,415.42600000000016,4,23,3,20,17,0.35294117647058826,4.0,1.3529411764705883,0.5666666666666667,1,4
CC(=O)OC1C=C(CCNc2ccccc2)C2C(c3cc4c(cc3CN2C(=O)OCc2ccccc2)OCO4)C1OC(C)=O,376,0.3235294117647059,598.6520000000004,6,35,3,32,29,0.20689655172413793,2.0,1.206896551724138,0.6590909090909091,3,4
Cc1noc(C)c1-c1cc2c(cc1OS(=O)(=O)C(F)(F)F)C[NH+]1CCC3=CC(O)C(O)C2C31,377,0.47619047619047616,487.47600000000017,5,28,4,24,21,0.38095238095238093,2.5,1.3333333333333333,0.6363636363636364,2,5
Cc1noc(C)c1-c1cc2c(cc1OS(=O)(=O)C(F)(F)F)C1C(O)C(O)C=C3CC[NH+](C2)C31,378,0.47619047619047616,487.47600000000017,5,28,4,24,21,0.38095238095238093,2.5,1.3333333333333333,0.6363636363636364,2,5
